candidate_rank,pair_id,galaxy_name,obs_id_1,obs_id_2,compatibility,baseline_days,pair_score,preflight_reason
96,MESSIER 083::hst_12513_08_acs_wfc_f814w_jbqc08::hst_17747_26_acs_wfc_f814w_jfgf26,MESSIER 083,hst_12513_08_acs_wfc_f814w_jbqc08,hst_17747_26_acs_wfc_f814w_jfgf26,exact,4900.864923729998,1.4000000000000001,RESTRICTED_DATA_RIGHTS:hst_17747_26_acs_wfc_f814w_jfgf26:EXCLUSIVE_ACCESS
102,MESSIER 100::hst_11646_01_wfc3_uvis_f555w_ib2q01::hst_15654_44_wfc3_uvis_f555w_idxr44,MESSIER 100,hst_11646_01_wfc3_uvis_f555w_ib2q01,hst_15654_44_wfc3_uvis_f555w_idxr44,exact,3730.7718598400024,1.4000000000000001,"PRODUCT_PRECHECK_FAILED:HTTPSConnectionPool(host='mast.stsci.edu', port=443): Max retries exceeded with url: /api/v0/invoke (Caused by NameResolutionError(""HTTPSConnection(host='mast.s"
104,NGC 4414::hst_12888_01_wfc3_uvis_f555w_ibzv01::hst_17191_28_wfc3_uvis_f555w_iex628,NGC 4414,hst_12888_01_wfc3_uvis_f555w_ibzv01,hst_17191_28_wfc3_uvis_f555w_iex628,exact,3588.236930469997,1.4000000000000001,"PRODUCT_PRECHECK_FAILED:HTTPSConnectionPool(host='mast.stsci.edu', port=443): Max retries exceeded with url: /api/v0/invoke (Caused by NameResolutionError(""HTTPSConnection(host='mast.s"
109,NGC 4414::hst_12888_01_wfc3_uvis_f555w_ibzv01::hst_17191_01_wfc3_uvis_f555w_iex601,NGC 4414,hst_12888_01_wfc3_uvis_f555w_ibzv01,hst_17191_01_wfc3_uvis_f555w_iex601,exact,3398.489979509999,1.4000000000000001,"PRODUCT_PRECHECK_FAILED:HTTPSConnectionPool(host='mast.stsci.edu', port=443): Max retries exceeded with url: /api/v0/invoke (Caused by NameResolutionError(""HTTPSConnection(host='mast.s"
114,NGC 1448::hst_12880_16_wfc3_ir_f160w_ic1316::hst_16885_04_wfc3_ir_f160w_iesl04,NGC 1448,hst_12880_16_wfc3_ir_f160w_ic1316,hst_16885_04_wfc3_ir_f160w_iesl04,exact,3273.8228347600016,1.4000000000000001,"PRODUCT_PRECHECK_FAILED:HTTPSConnectionPool(host='mast.stsci.edu', port=443): Max retries exceeded with url: /api/v0/invoke (Caused by NameResolutionError(""HTTPSConnection(host='mast.s"
115,NGC 1448::hst_12880_20_wfc3_ir_f160w_ic1320::hst_16885_04_wfc3_ir_f160w_iesl04,NGC 1448,hst_12880_20_wfc3_ir_f160w_ic1320,hst_16885_04_wfc3_ir_f160w_iesl04,exact,3247.3012137800033,1.4000000000000001,"PRODUCT_PRECHECK_FAILED:HTTPSConnectionPool(host='mast.stsci.edu', port=443): Max retries exceeded with url: /api/v0/invoke (Caused by NameResolutionError(""HTTPSConnection(host='mast.s"
116,NGC 1448::hst_12880_23_wfc3_ir_f160w_ic1323::hst_16885_04_wfc3_ir_f160w_iesl04,NGC 1448,hst_12880_23_wfc3_ir_f160w_ic1323,hst_16885_04_wfc3_ir_f160w_iesl04,exact,3228.1805656300057,1.4000000000000001,"PRODUCT_PRECHECK_FAILED:HTTPSConnectionPool(host='mast.stsci.edu', port=443): Max retries exceeded with url: /api/v0/invoke (Caused by NameResolutionError(""HTTPSConnection(host='mast.s"
120,MESSIER 083::hst_9774_0f_acs_wfc_f435w_j8ph0f::hst_12513_08_acs_wfc_f435w_jbqc08,MESSIER 083,hst_9774_0f_acs_wfc_f435w_j8ph0f,hst_12513_08_acs_wfc_f435w_jbqc08,exact,2959.2781357600034,1.4000000000000001,"PRODUCT_PRECHECK_FAILED:HTTPSConnectionPool(host='mast.stsci.edu', port=443): Max retries exceeded with url: /api/v0/invoke (Caused by NameResolutionError(""HTTPSConnection(host='mast.s"
121,MESSIER 083::hst_9774_0h_acs_wfc_f814w_j8ph0h::hst_12513_08_acs_wfc_f814w_jbqc08,MESSIER 083,hst_9774_0h_acs_wfc_f814w_j8ph0h,hst_12513_08_acs_wfc_f814w_jbqc08,exact,2949.9528579800026,1.4000000000000001,"PRODUCT_PRECHECK_FAILED:HTTPSConnectionPool(host='mast.stsci.edu', port=443): Max retries exceeded with url: /api/v0/invoke (Caused by NameResolutionError(""HTTPSConnection(host='mast.s"
122,MESSIER 083::hst_9774_0h_acs_wfc_f435w_j8ph0h::hst_12513_08_acs_wfc_f435w_jbqc08,MESSIER 083,hst_9774_0h_acs_wfc_f435w_j8ph0h,hst_12513_08_acs_wfc_f435w_jbqc08,exact,2949.893195180004,1.4000000000000001,"PRODUCT_PRECHECK_FAILED:HTTPSConnectionPool(host='mast.stsci.edu', port=443): Max retries exceeded with url: /api/v0/invoke (Caused by NameResolutionError(""HTTPSConnection(host='mast.s"
123,MESSIER 083::hst_9774_0h_acs_wfc_f814w_j8ph0h::hst_12513_02_acs_wfc_f814w_jbqc02,MESSIER 083,hst_9774_0h_acs_wfc_f814w_j8ph0h,hst_12513_02_acs_wfc_f814w_jbqc02,exact,2941.974859890004,1.4000000000000001,"PRODUCT_PRECHECK_FAILED:HTTPSConnectionPool(host='mast.stsci.edu', port=443): Max retries exceeded with url: /api/v0/invoke (Caused by NameResolutionError(""HTTPSConnection(host='mast.s"
124,NGC 1448::hst_12880_14_wfc3_uvis_f814w_ic1314::hst_16239_08_wfc3_uvis_f814w_ieec08,NGC 1448,hst_12880_14_wfc3_uvis_f814w_ic1314,hst_16239_08_wfc3_uvis_f814w_ieec08,exact,2905.691699969997,1.4000000000000001,"PRODUCT_PRECHECK_FAILED:HTTPSConnectionPool(host='mast.stsci.edu', port=443): Max retries exceeded with url: /api/v0/invoke (Caused by NameResolutionError(""HTTPSConnection(host='mast.s"
125,NGC 1448::hst_12880_18_wfc3_uvis_f814w_ic1318::hst_16239_08_wfc3_uvis_f814w_ieec08,NGC 1448,hst_12880_18_wfc3_uvis_f814w_ic1318,hst_16239_08_wfc3_uvis_f814w_ieec08,exact,2877.579581179998,1.4000000000000001,"PRODUCT_PRECHECK_FAILED:HTTPSConnectionPool(host='mast.stsci.edu', port=443): Max retries exceeded with url: /api/v0/invoke (Caused by NameResolutionError(""HTTPSConnection(host='mast.s"
129,MESSIER 100::hst_skycell-p1722x05y02_acs_wfc_f814w_all::hst_15645_16_acs_wfc_f814w_jdxk16,MESSIER 100,hst_skycell-p1722x05y02_acs_wfc_f814w_all,hst_15645_16_acs_wfc_f814w_jdxk16,exact,2372.8578803499986,1.4000000000000001,"PRODUCT_PRECHECK_FAILED:HTTPSConnectionPool(host='mast.stsci.edu', port=443): Max retries exceeded with url: /api/v0/invoke (Caused by NameResolutionError(""HTTPSConnection(host='mast.s"
