id,x,y,sharpness,roundness1,roundness2,npix,peak,flux,mag,daofind_mag,source_id,flux_first,err_first,flux_last,err_last,fade_fraction,fade_sigma,matched_candidate_id
81,252.91274878286532,833.5512125814995,0.7407013227038823,0.031248095419998994,0.012117963163859583,25,27.411614218650612,285.62029531501423,-6.139472659634979,-0.47152891557104454,80,128.33495078146115,2.0651372655555766,123.59364641851802,1.8442184624592022,0.036944763169130646,1.7124397758649714,
23,571.9015587623735,230.28542326210038,0.7307049221723811,0.21239023352844386,1.0628607311562148,25,27.35369049381158,252.42394392809695,-6.005326369919165,-0.6800734485939096,22,191.76125426908175,108.94102517664906,-9.699892380544242,59.38931620551114,1.0505831713372777,1.6236712472701136,
17,566.7386813404664,227.57271920355714,0.6867073161510179,-0.15596055763691555,-1.1778493565930361,25,43.358652324232885,702.3464355344771,-7.116378456708215,-0.4138146759748911,16,403.3334769133764,109.81851005072751,218.05894639521617,49.71393782688281,0.4593581766037027,1.5369484151832424,
26,556.9573544623083,231.34817494267833,0.8063348613635526,-0.642264667355574,-0.948473647863964,25,19.881369241835678,147.2163930304561,-5.419890432039528,-0.5545337345816153,25,312.8165707605908,90.40643101717495,176.4142809504531,60.566878424091485,0.4360456016715657,1.2534736028368294,
80,320.14130080969704,817.7128676110942,0.6668430124026918,0.573520751453882,-0.014988635419941457,25,145.1355157362247,2233.676454105399,-8.37255066548876,-1.8552464967620608,79,884.0872657931395,19.996137857801806,849.9845606603569,19.4180753748099,0.03857391283900924,1.2235008129524647,
32,573.5746467020646,234.8413777671008,0.9878357970407822,-0.8580332659403198,-0.21969236448047474,25,13.852370665333595,19.180973593298823,-3.2071766185915846,-0.07017797517883176,31,119.66484896615685,102.8683131325634,21.341266583308382,36.05596575910322,0.8216580159697187,0.9020161961720448,
84,173.493262749742,860.0725857231776,0.5455045534908363,-0.8829306613902866,-0.14492924176255825,25,21.40988358135315,306.0826545790529,-6.214596798070074,-0.03532570108487608,83,183.95026466800584,8.245894647171733,174.32498302969594,7.937876459852291,0.05232545686020973,0.8409498002421748,
70,527.6201570497058,515.3780985086846,0.7218084573435899,0.5099579988756817,-0.10744725583842354,25,16.544124052784767,141.68558276067927,-5.378314151976596,-0.0681447529853182,69,128.1825745492329,3.8123242969348046,124.12878066476809,3.458852438644132,0.0316251557492927,0.7875160313087795,
74,857.1991284202188,703.0587706673616,0.8877775051011593,-0.011086195673092991,-0.041326555822200906,25,143.39225630736604,703.7769701493346,-7.118587628041389,-2.499955734576637,73,653.6786396443199,7.6690049717601605,646.6921490652862,5.242224873350624,0.010687959121373769,0.7520857693760401,
44,166.51360840195593,462.19007928331087,0.951428718326009,0.6466089662133054,-0.9187440251705086,25,130.74258558537753,579.4401268482695,-6.907521418165867,-2.5264360043706846,43,727.8287376941305,95.42542468111753,685.559221454272,96.05200504422872,0.05807618475436216,0.31219242482112813,
24,576.1402909188921,230.6485193389287,0.8096377908729746,0.6983707891010488,1.3048880624546666,25,41.362611220143165,307.4633074960603,-6.219483236841121,-1.059403119463722,23,155.42336258714838,106.53700271428796,182.44004582143415,42.099756481383146,-0.17382639768289065,-0.23584320533018993,
58,144.37740365729468,481.5651675116868,0.9120696406193297,-0.9326064271070771,0.01348915826874022,25,73.6905593547374,270.0916136645128,-6.078777748919487,-1.8764257603978585,57,178.53822783649292,154.73365310868948,244.62970698544265,158.6282018576582,-0.370181108829404,-0.29825023988254845,
66,113.8419596772199,497.8887701572505,0.6877507535224514,-1.8518149068672578,-0.973182811193472,25,90.65336794863636,746.5237804893296,-7.18260911679292,-2.157213805455621,65,284.7017519882,238.16893238237333,631.6587296656018,175.37299027104842,-1.2186682212330822,-1.1730618902831091,
60,135.0473134914108,484.8141953339357,0.7840767422505271,-1.1019232518618516,-0.7115628176243454,25,132.19305966226983,1147.3676263767177,-7.649256479640197,-2.2649241048261146,59,771.1177276886607,305.1174136127899,1207.6098294496205,114.51451372991893,-0.5660511827024082,-1.3393474525411124,
49,154.73272319715994,471.79917727676707,0.6972334346071796,0.18214141208780102,-0.07188467504809079,25,34.72586278960354,174.87803453395668,-5.606838158920093,-1.165112294677241,48,30.535911950057418,228.552272631518,439.04093375398895,170.55449098714502,-13.3778556367354,-1.4324696477904706,
65,118.45627955282619,495.8940106154959,0.8748720635253409,0.41986327467337003,-0.3109514894377669,25,19.526688154216973,164.932860190961,-5.543267975950016,-0.26423447443996056,64,59.671313011061436,382.3550513764201,892.5820028726881,261.12823179441887,-13.95831007953902,-1.7988830136440142,
19,577.8857407961331,227.49509984908195,0.3929586326158178,-0.012301426856768128,-0.4412769208251286,25,35.0032525263243,596.1278051686838,-6.938348447711178,-1.0431766912643528,18,-128.10551288608247,124.47274655603256,108.84583891494842,37.60574856701329,1.8496577271560461,-1.8222899362819849,
52,148.9997699278658,475.7466552134277,0.39666853596512913,-0.008179349443265701,0.513974923104181,25,86.54814187516068,1170.7548200285974,-7.671164886149202,-2.2789464799199637,51,411.7048431646865,259.98065944167513,1116.2399978192918,78.40949975160808,-1.7112627319100628,-2.594519935626138,
50,159.31610091206068,470.7069975550835,0.7155748150824099,-0.2635252933713352,0.9505228217805263,25,34.37097770385573,296.9482602730772,-6.181701963062607,-1.0136248930332201,49,212.84342358370083,152.0872763512743,665.4478334543178,53.02433984824563,-2.1264664994106806,-2.8100629382935516,
