pair_id,galaxy_name,obs_id_1,obs_id_2,filter_1,filter_2,compatibility,baseline_days,pair_score,status,error,n_residual_detections,n_survivors,registration_dx_px,registration_dy_px,registration_residual_px,registration_n_matches,scale_factor_post_to_pre,n_scale_sources,pair_stable_fraction,pair_extreme_fade_fraction,pair_is_stable,n_fade_survivors,n_brighten_survivors,obsid_1,obsid_2,product_filename_1,product_filename_2,product_uri_1,product_uri_2,product_path_1,product_path_2,product_priority_1,product_priority_2,image_ext_1,image_ext_2
NGC 4039::hst_11577_91_acs_wfc_f814w_jb5u91::hst_15645_19_acs_wfc_f814w_jdxk19,NGC 4039,hst_11577_91_acs_wfc_f814w_jb5u91,hst_15645_19_acs_wfc_f814w_jdxk19,F814W,F814W,exact,3385.5115249500013,1.4000000000000001,FAILED,Insufficient overlap after WCS reprojection.,0,0,,,,,,,,,,,,,,,,,,,,,,,
NGC 4039::hst_11577_20_acs_wfc_f814w_jb5u20::hst_15645_19_acs_wfc_f814w_jdxk19,NGC 4039,hst_11577_20_acs_wfc_f814w_jb5u20,hst_15645_19_acs_wfc_f814w_jdxk19,F814W,F814W,exact,3382.829707249999,1.4000000000000001,FAILED,Insufficient overlap after WCS reprojection.,0,0,,,,,,,,,,,,,,,,,,,,,,,
MESSIER 061::hst_skycell-p1458x13y04_acs_wfc_f814w_all::hst_12574_01_acs_wfc_f814w_jbs801,MESSIER 061,hst_skycell-p1458x13y04_acs_wfc_f814w_all,hst_12574_01_acs_wfc_f814w_jbs801,F814W,F814W,exact,3368.4125866800023,1.4000000000000001,SCANNED,,80,4,0.5673329102714888,0.40528817547556173,0.1075599772259535,40.0,1.4980792990687086,50.0,0.7169811320754716,0.0,True,4.0,0.0,87488056.0,26448734.0,hst_skycell-p1458x13y04_acs_wfc_f814w_all_drc.fits,hst_12574_01_acs_wfc_f814w_jbs801_drc.fits,mast:HST/product/hst_skycell-p1458x13y04_acs_wfc_f814w_all_drc.fits,mast:HST/product/hst_12574_01_acs_wfc_f814w_jbs801_drc.fits,/home/primary/SUPERNOVA/data/cache/mast_products/HST/hst_skycell-p1458x13y04_acs_wfc_f814w_all/hst_skycell-p1458x13y04_acs_wfc_f814w_all_drc.fits,/home/primary/SUPERNOVA/data/cache/mast_products/HST/hst_12574_01_acs_wfc_f814w_jbs801/hst_12574_01_acs_wfc_f814w_jbs801_drc.fits,181.0,181.0,SCI,SCI
IC 2163::hst_13029_10_wfc3_uvis_f814w_ibyb10::hst_16239_28_wfc3_uvis_f814w_ieec28,IC 2163,hst_13029_10_wfc3_uvis_f814w_ibyb10,hst_16239_28_wfc3_uvis_f814w_ieec28,F814W,F814W,exact,3224.5326096499994,1.4000000000000001,FAILED,Insufficient overlap after WCS reprojection.,0,0,,,,,,,,,,,,,,,,,,,,,,,
NGC 2207::hst_13029_10_wfc3_uvis_f814w_ibyb10::hst_16239_28_wfc3_uvis_f814w_ieec28,NGC 2207,hst_13029_10_wfc3_uvis_f814w_ibyb10,hst_16239_28_wfc3_uvis_f814w_ieec28,F814W,F814W,exact,3224.5326096499994,1.4000000000000001,FAILED,Insufficient overlap after WCS reprojection.,0,0,,,,,,,,,,,,,,,,,,,,,,,
NGC 7479::hst_11575_53_acs_wfc_f814w_jb4u53::hst_15645_09_acs_wfc_f814w_jdxk09,NGC 7479,hst_11575_53_acs_wfc_f814w_jb4u53,hst_15645_09_acs_wfc_f814w_jdxk09,F814W,F814W,exact,3115.3816238699947,1.4000000000000001,SCANNED,,489,0,1.864275318448108,1.3703902513495905,0.4129982343192308,98.0,0.9107440925949483,117.0,0.4781021897810219,0.17153284671532848,False,0.0,0.0,26414899.0,26493734.0,hst_11575_53_acs_wfc_f814w_jb4u53_drc.fits,hst_15645_09_acs_wfc_f814w_jdxk09_drc.fits,mast:HST/product/hst_11575_53_acs_wfc_f814w_jb4u53_drc.fits,mast:HST/product/hst_15645_09_acs_wfc_f814w_jdxk09_drc.fits,/home/primary/SUPERNOVA/data/cache/mast_products/HST/hst_11575_53_acs_wfc_f814w_jb4u53/hst_11575_53_acs_wfc_f814w_jb4u53_drc.fits,/home/primary/SUPERNOVA/data/cache/mast_products/HST/hst_15645_09_acs_wfc_f814w_jdxk09/hst_15645_09_acs_wfc_f814w_jdxk09_drc.fits,181.0,181.0,SCI,SCI
NGC 3147::hst_15145_32_wfc3_uvis_f555w_idgg32::hst_17846_03_wfc3_uvis_f555w_ifgg03,NGC 3147,hst_15145_32_wfc3_uvis_f555w_idgg32,hst_17846_03_wfc3_uvis_f555w_ifgg03,F555W,F555W,exact,2744.8578700200014,1.4000000000000001,SCANNED,,494,0,0.0,0.0,,0.0,1.0,5.0,0.0,0.9763779527559056,False,0.0,0.0,26668462.0,264855758.0,hst_15145_32_wfc3_uvis_f555w_idgg32_drc.fits,hst_17846_03_wfc3_uvis_f555w_ifgg03_drc.fits,mast:HST/product/hst_15145_32_wfc3_uvis_f555w_idgg32_drc.fits,mast:HST/product/hst_17846_03_wfc3_uvis_f555w_ifgg03_drc.fits,/home/primary/SUPERNOVA/data/cache/mast_products/HST/hst_15145_32_wfc3_uvis_f555w_idgg32/hst_15145_32_wfc3_uvis_f555w_idgg32_drc.fits,/home/primary/SUPERNOVA/data/cache/mast_products/HST/hst_17846_03_wfc3_uvis_f555w_ifgg03/hst_17846_03_wfc3_uvis_f555w_ifgg03_drc.fits,181.0,181.0,SCI,SCI
NGC 7331::hst_14668_04_wfc3_uvis_f555w_id9604::hst_17506_25_wfc3_uvis_f555w_if8c25,NGC 7331,hst_14668_04_wfc3_uvis_f555w_id9604,hst_17506_25_wfc3_uvis_f555w_if8c25,F555W,F555W,exact,2643.3501688500037,1.4000000000000001,SCANNED,,493,0,0.0,0.0,,0.0,1.0,3.0,0.0,0.9808429118773946,False,0.0,0.0,26302845.0,201411183.0,hst_14668_04_wfc3_uvis_f555w_id9604_drc.fits,hst_17506_25_wfc3_uvis_f555w_if8c25_drc.fits,mast:HST/product/hst_14668_04_wfc3_uvis_f555w_id9604_drc.fits,mast:HST/product/hst_17506_25_wfc3_uvis_f555w_if8c25_drc.fits,/home/primary/SUPERNOVA/data/cache/mast_products/HST/hst_14668_04_wfc3_uvis_f555w_id9604/hst_14668_04_wfc3_uvis_f555w_id9604_drc.fits,/home/primary/SUPERNOVA/data/cache/mast_products/HST/hst_17506_25_wfc3_uvis_f555w_if8c25/hst_17506_25_wfc3_uvis_f555w_if8c25_drc.fits,181.0,181.0,SCI,SCI
NGC 3147::hst_15145_3a_wfc3_uvis_f555w_idgg3a::hst_17846_03_wfc3_uvis_f555w_ifgg03,NGC 3147,hst_15145_3a_wfc3_uvis_f555w_idgg3a,hst_17846_03_wfc3_uvis_f555w_ifgg03,F555W,F555W,exact,2607.6724735800017,1.4000000000000001,SCANNED,,494,0,0.0,0.0,,0.0,1.0,3.0,0.0,0.98828125,False,0.0,0.0,26668583.0,264855758.0,hst_15145_3a_wfc3_uvis_f555w_idgg3a_drc.fits,hst_17846_03_wfc3_uvis_f555w_ifgg03_drc.fits,mast:HST/product/hst_15145_3a_wfc3_uvis_f555w_idgg3a_drc.fits,mast:HST/product/hst_17846_03_wfc3_uvis_f555w_ifgg03_drc.fits,/home/primary/SUPERNOVA/data/cache/mast_products/HST/hst_15145_3a_wfc3_uvis_f555w_idgg3a/hst_15145_3a_wfc3_uvis_f555w_idgg3a_drc.fits,/home/primary/SUPERNOVA/data/cache/mast_products/HST/hst_17846_03_wfc3_uvis_f555w_ifgg03/hst_17846_03_wfc3_uvis_f555w_ifgg03_drc.fits,181.0,181.0,SCI,SCI
IC 2163::hst_13787_05_wfc3_uvis_f555w_ickj05::hst_skycell-p0818x12y14_wfc3_uvis_f555w_all,IC 2163,hst_13787_05_wfc3_uvis_f555w_ickj05,hst_skycell-p0818x12y14_wfc3_uvis_f555w_all,F555W,F555W,exact,2333.795166759999,1.4000000000000001,FAILED,Insufficient overlap after WCS reprojection.,0,0,,,,,,,,,,,,,,,,,,,,,,,
