[2026-03-11T00:17:09.702157Z] run start mode=difference_upgrade resume=True sign_mode=fade
[2026-03-11T00:18:23.971260Z] pair skipped pair_id=NGC 5012::hst_16239_06_wfc3_uvis_f814w_ieec06::hst_16683_53_wfc3_uvis_f814w_ien653 reason=TARGET_CENTER_OUTSIDE_FOOTPRINT
[2026-03-11T00:18:24.954809Z] pair skipped pair_id=NGC 5012::hst_16239_06_wfc3_uvis_f814w_ieec06::hst_16683_03_wfc3_uvis_f814w_ien603 reason=TARGET_CENTER_OUTSIDE_FOOTPRINT
[2026-03-11T00:18:25.785569Z] pair skipped pair_id=NGC 3256::hst_9300_01_acs_hrc_f330w_j8ec01::hst_9735_20_acs_hrc_f330w_j8st20 reason=TARGET_CENTER_OUTSIDE_FOOTPRINT
[2026-03-11T00:18:25.803796Z] pair skipped pair_id=NGC 4102::hst_17580_01_wfc3_uvis_f502n_if7601::hst_17580_05_wfc3_uvis_f502n_if7605 reason=RESTRICTED_DATA_RIGHTS:hst_17580_05_wfc3_uvis_f502n_if7605:EXCLUSIVE_ACCESS
[2026-03-11T00:18:27.923629Z] pair skipped pair_id=NGC 3521::hst_17502_18_wfc3_uvis_f336w_ifab18::hst_skycell-p1363x01y02_wfc3_uvis_f336w_all reason=TARGET_CENTER_OUTSIDE_FOOTPRINT
[2026-03-11T00:18:32.293379Z] pair skipped pair_id=NGC 3521::hst_17502_18_wfc3_uvis_f275w_ifab18::hst_skycell-p1363x01y02_wfc3_uvis_f275w_all reason=TARGET_CENTER_OUTSIDE_FOOTPRINT
[2026-03-11T00:18:32.677164Z] pair skipped pair_id=NGC 5427::hst_17413_39_wfc3_uvis_f555w_if8739::hst_17413_41_wfc3_uvis_f555w_if8741 reason=TARGET_CENTER_OUTSIDE_FOOTPRINT
[2026-03-11T00:18:34.434674Z] pair skipped pair_id=NGC 4535::hst_17126_20_wfc3_uvis_f657n_if0420::hst_17457_20_wfc3_uvis_f657n_if8k20 reason=TARGET_CENTER_OUTSIDE_FOOTPRINT
[2026-03-11T00:18:36.359010Z] pair skipped pair_id=MESSIER 063::hst_10402_18_acs_wfc_f435w_j96r18::hst_10579_09_acs_wfc_f435w_j9h809 reason=TARGET_CENTER_OUTSIDE_FOOTPRINT
[2026-03-11T00:18:39.494052Z] pair skipped pair_id=NGC 6907::hst_16287_cs_wfc3_uvis_f275w_iebjcs::hst_16287_35_wfc3_uvis_f275w_iebj35 reason=TARGET_CENTER_OUTSIDE_FOOTPRINT
[2026-03-11T00:18:40.463466Z] pair skipped pair_id=NGC 5728::hst_15640_21_wfc3_ir_f160w_idxb21::hst_15640_2b_wfc3_ir_f160w_idxb2b reason=TARGET_CENTER_OUTSIDE_FOOTPRINT
[2026-03-11T00:18:40.686491Z] run completed scanned=0 failed=0 detections=0
