cluster_id,galaxy_name,pair_id,pre_obs_id,post_obs_id,pre_filter,post_filter,pre_instrument,post_instrument,band_group,baseline_days,pre_mjd,post_mjd,coverage_status,x_pix,y_pix,edge_distance_px,registration_residual_px,registration_n_matches,pair_stable_fraction,pair_extreme_fade_fraction,pair_failure_reason,diff_flux,diff_err,diff_sigma,flux_pre,flux_post,err_pre,err_post,post_to_pre_ratio
MESSIER_066_branch_0005,MESSIER 066,MESSIER 066::hst_12968_01_wfc3_uvis_f814w_ic0h01::hst_15654_22_wfc3_uvis_f814w_idxr22,hst_12968_01_wfc3_uvis_f814w_ic0h01,hst_15654_22_wfc3_uvis_f814w_idxr22,F814W,F814W,WFC3/UVIS,WFC3/UVIS,OPTICAL,2203.5971594500006,,,OUTSIDE_FOOTPRINT,1593.4841273349193,2701.232517087431,,0.19978646974872846,109.0,0.9307692307692308,0.015384615384615385,,,,,,,,,
MESSIER_066_branch_0005,MESSIER 066,MESSIER 066::hst_13364_12_wfc3_uvis_f555w_icdm12::hst_15654_22_wfc3_uvis_f555w_idxr22,hst_13364_12_wfc3_uvis_f555w_icdm12,hst_15654_22_wfc3_uvis_f555w_idxr22,F555W,F555W,WFC3/UVIS,WFC3/UVIS,OPTICAL,2101.9854062500017,,,OUTSIDE_FOOTPRINT,3135.3448952830186,6463.245774853911,,0.5512279229516222,237.0,0.8290909090909091,0.05818181818181818,,,,,,,,,
MESSIER_066_branch_0005,MESSIER 066,MESSIER 066::hst_13477_03_wfc3_uvis_f555w_ic8503::hst_15654_22_wfc3_uvis_f555w_idxr22,hst_13477_03_wfc3_uvis_f555w_ic8503,hst_15654_22_wfc3_uvis_f555w_idxr22,F555W,F555W,WFC3/UVIS,WFC3/UVIS,OPTICAL,2173.7849484100007,,,MEASURED,2203.546003752767,4512.510652378431,566.5589113234387,0.13740214208677143,249.0,0.9609929078014184,0.0035460992907801418,,28.74853540390472,0.3616483335292598,79.49306754258491,46.56689824068959,17.75727189819202,1.6318587349732179,1.4381596549802944,0.3813282088579379
MESSIER_066_branch_0005,MESSIER 066,MESSIER 066::hst_13477_03_wfc3_uvis_f814w_ic8503::hst_15654_22_wfc3_uvis_f814w_idxr22,hst_13477_03_wfc3_uvis_f814w_ic8503,hst_15654_22_wfc3_uvis_f814w_idxr22,F814W,F814W,WFC3/UVIS,WFC3/UVIS,OPTICAL,2173.6953995300064,,,MEASURED,2203.546003752767,4512.510652378431,566.2684875569186,0.13596759080022405,227.0,0.9326241134751773,0.010638297872340425,,21.42033722677768,0.19537277180341253,109.63829314113019,29.326852501204684,8.078625916764636,0.6482278707241418,0.5717218416460624,0.2754685630322171
MESSIER_066_branch_0005,MESSIER 066,MESSIER 066::jw02107-o029_t011_nircam_clear-f335m::jw04793-o011_t011_nircam_clear-f335m,jw02107-o029_t011_nircam_clear-f335m,jw04793-o011_t011_nircam_clear-f335m,F335M,F335M,NIRCAM/IMAGE,NIRCAM/IMAGE,NIR,708.0771597106504,,,MEASURED,962.1109759445262,1387.975734872967,360.068049124051,0.12267200350079889,206.0,0.9163763066202091,0.003484320557491289,,1.3015519907597015,1.4676045509556837,0.8868546979580766,-15.87490274826611,-16.397227163582684,3.3867538030040034,3.3406253660539944,1.032902526938228
MESSIER_066_branch_0006,MESSIER 066,MESSIER 066::hst_12968_01_wfc3_uvis_f438w_ic0h01::hst_15654_22_wfc3_uvis_f438w_idxr22,hst_12968_01_wfc3_uvis_f438w_ic0h01,hst_15654_22_wfc3_uvis_f438w_idxr22,F438W,F438W,WFC3/UVIS,WFC3/UVIS,OPTICAL,2203.6784212899947,,,OUTSIDE_FOOTPRINT,1019.4696766556277,2501.0344891515288,,0.16880871869207995,258.0,0.9466666666666667,0.0033333333333333335,,,,,,,,,
MESSIER_066_branch_0006,MESSIER 066,MESSIER 066::hst_12968_01_wfc3_uvis_f814w_ic0h01::hst_15654_22_wfc3_uvis_f814w_idxr22,hst_12968_01_wfc3_uvis_f814w_ic0h01,hst_15654_22_wfc3_uvis_f814w_idxr22,F814W,F814W,WFC3/UVIS,WFC3/UVIS,OPTICAL,2203.5971594500006,,,OUTSIDE_FOOTPRINT,1019.4696766556278,2501.0344891515288,,0.19978646974872846,109.0,0.9307692307692308,0.015384615384615385,,,,,,,,,
MESSIER_066_branch_0006,MESSIER 066,MESSIER 066::hst_13364_12_wfc3_uvis_f555w_icdm12::hst_15654_22_wfc3_uvis_f555w_idxr22,hst_13364_12_wfc3_uvis_f555w_icdm12,hst_15654_22_wfc3_uvis_f555w_idxr22,F555W,F555W,WFC3/UVIS,WFC3/UVIS,OPTICAL,2101.9854062500017,,,OUTSIDE_FOOTPRINT,2561.323245071298,6263.068172140721,,0.5512279229516222,237.0,0.8290909090909091,0.05818181818181818,,,,,,,,,
MESSIER_066_branch_0006,MESSIER 066,MESSIER 066::hst_13477_03_wfc3_uvis_f555w_ic8503::hst_15654_22_wfc3_uvis_f555w_idxr22,hst_13477_03_wfc3_uvis_f555w_ic8503,hst_15654_22_wfc3_uvis_f555w_idxr22,F555W,F555W,WFC3/UVIS,WFC3/UVIS,OPTICAL,2173.7849484100007,,,MEASURED,1629.5191206173358,4312.348345901746,525.521645605583,0.13740214208677143,249.0,0.9609929078014184,0.0035460992907801418,,3.057550130027266,0.10774017101252592,28.37892404748266,5.906368673887027,2.7650924110699204,0.7091308553570237,0.708127730527097,0.46815438787199715
MESSIER_066_branch_0006,MESSIER 066,MESSIER 066::hst_13477_03_wfc3_uvis_f814w_ic8503::hst_15654_22_wfc3_uvis_f814w_idxr22,hst_13477_03_wfc3_uvis_f814w_ic8503,hst_15654_22_wfc3_uvis_f814w_idxr22,F814W,F814W,WFC3/UVIS,WFC3/UVIS,OPTICAL,2173.6953995300064,,,MEASURED,1629.5191206173358,4312.348345901746,525.2808772456884,0.13596759080022405,227.0,0.9326241134751773,0.010638297872340425,,6.243461208156245,0.10452149474298215,59.733753554796415,9.459246323344725,3.1538508901377345,0.39792528843742836,0.40902838629999516,0.3334146064421921
MESSIER_066_branch_0006,MESSIER 066,MESSIER 066::jw02107-o029_t011_nircam_clear-f335m::jw04793-o011_t011_nircam_clear-f335m,jw02107-o029_t011_nircam_clear-f335m,jw04793-o011_t011_nircam_clear-f335m,F335M,F335M,NIRCAM/IMAGE,NIRCAM/IMAGE,NIR,708.0771597106504,,,MEASURED,950.3079399091528,1005.8816791924169,469.13750649463105,0.12267200350079889,206.0,0.9163763066202091,0.003484320557491289,,-2.8919327390303495,0.8933913576738723,-3.2370278872633036,42.85462291485181,44.67041059317256,3.9658757889613683,3.899005530133156,1.0423708705109493
MESSIER_066_branch_0007,MESSIER 066,MESSIER 066::hst_12968_01_wfc3_uvis_f438w_ic0h01::hst_15654_22_wfc3_uvis_f438w_idxr22,hst_12968_01_wfc3_uvis_f438w_ic0h01,hst_15654_22_wfc3_uvis_f438w_idxr22,F438W,F438W,WFC3/UVIS,WFC3/UVIS,OPTICAL,2203.6784212899947,,,OUTSIDE_FOOTPRINT,1376.3697981195899,3339.063142383985,,0.16880871869207995,258.0,0.9466666666666667,0.0033333333333333335,,,,,,,,,
MESSIER_066_branch_0007,MESSIER 066,MESSIER 066::hst_12968_01_wfc3_uvis_f814w_ic0h01::hst_15654_22_wfc3_uvis_f814w_idxr22,hst_12968_01_wfc3_uvis_f814w_ic0h01,hst_15654_22_wfc3_uvis_f814w_idxr22,F814W,F814W,WFC3/UVIS,WFC3/UVIS,OPTICAL,2203.5971594500006,,,OUTSIDE_FOOTPRINT,1376.36979811959,3339.063142383985,,0.19978646974872846,109.0,0.9307692307692308,0.015384615384615385,,,,,,,,,
