cluster_id,galaxy_name,ra_deg,dec_deg,n_members,n_pass_members,n_review_members,n_support_pairs,n_support_filters,n_support_instruments,detection_baseline_span_days,member_diff_sigma_max,member_diff_sigma_minmax,member_diff_sigma_median,member_ratio_median,member_ratio_min,member_ratio_max,member_severe_fraction,member_partial_fraction,member_pre_snr_median,member_post_snr_median,member_blend_risk_median,member_crowding_median,member_edge_distance_median,member_registration_residual_median,member_registration_matches_median,member_pair_stable_fraction_median,member_pair_extreme_fade_fraction_median,member_centroid_scatter_arcsec,member_reason_codes_json,member_warning_flags_json,member_candidate_ids_json,member_pair_ids_json
MESSIER_101_branch_0079,MESSIER 101,210.75316499537436,54.33013492199142,1,0,1,1,1,1,851.3008862037022,19.799140582276493,19.799140582276493,19.799140582276493,0.3242496175272121,0.3242496175272121,0.3242496175272121,0.0,1.0,8.22573025967107,2.931799642492753,0.0,0.0,207.0,0.10520263294672516,278.0,0.91,0.0,0.0,"[""REGISTRATION_OK"", ""ROBUST_DIFF_SIG""]",[],"[""MESSIER_101_jw02452-o002_t002_nircam_clear-f200w_jw05398-c1144_t000_nircam_clear-f200w_fade_0040""]","[""MESSIER 101::jw02452-o002_t002_nircam_clear-f200w::jw05398-c1144_t000_nircam_clear-f200w""]"
MESSIER_061_branch_0200,MESSIER 061,185.4723804414581,4.45819151938715,1,0,1,1,1,1,370.96410550925793,21.32018609018114,19.798260455807117,19.798260455807117,0.2784118444331945,0.2784118444331945,0.2784118444331945,0.0,1.0,8.270742166331473,2.6023869365188514,0.0,0.0,78.23042886243178,0.234136642607183,213.0,0.6363636363636364,0.011857707509881422,0.0,"[""REGISTRATION_OK"", ""ROBUST_DIFF_SIG""]",[],"[""MESSIER_061_jw02107-o031_t013_nircam_clear-f200w_jw02107-o044_t020_nircam_clear-f200w_fade_0329""]","[""MESSIER 061::jw02107-o031_t013_nircam_clear-f200w::jw02107-o044_t020_nircam_clear-f200w""]"
MESSIER_066_branch_0086,MESSIER 066,170.07705707252535,12.982523291879803,1,0,1,1,1,1,708.0771597106504,19.773048139392085,19.773048139392085,19.773048139392085,0.19599382899597476,0.19599382899597476,0.19599382899597476,0.0,1.0,6.8912388041354475,1.644301404039409,0.0,0.0,62.0,0.12267200350079889,206.0,0.9163763066202091,0.003484320557491289,0.0,"[""REGISTRATION_OK"", ""ROBUST_DIFF_SIG""]",[],"[""MESSIER_066_jw02107-o029_t011_nircam_clear-f335m_jw04793-o011_t011_nircam_clear-f335m_fade_0118""]","[""MESSIER 066::jw02107-o029_t011_nircam_clear-f335m::jw04793-o011_t011_nircam_clear-f335m""]"
MESSIER_066_branch_0087,MESSIER 066,170.04506426811705,13.001088541930685,1,0,1,1,1,1,708.0771597106504,19.604995403657608,19.604995403657608,19.604995403657608,0.3392900481989312,0.3392900481989312,0.3392900481989312,0.0,1.0,15.53333389155844,2.9227953750478184,0.0,0.0,40.0,0.12267200350079889,206.0,0.9163763066202091,0.003484320557491289,0.0,"[""REGISTRATION_OK"", ""ROBUST_DIFF_SIG""]",[],"[""MESSIER_066_jw02107-o029_t011_nircam_clear-f335m_jw04793-o011_t011_nircam_clear-f335m_fade_0222""]","[""MESSIER 066::jw02107-o029_t011_nircam_clear-f335m::jw04793-o011_t011_nircam_clear-f335m""]"
MESSIER_061_branch_0201,MESSIER 061,185.47328158011734,4.4644526149427595,1,0,1,1,1,1,370.96410550925793,30.40908448395885,19.3857852712425,19.3857852712425,0.4464307325065339,0.4464307325065339,0.4464307325065339,0.0,1.0,13.429085482320051,6.682263270225383,0.0,0.0,297.0,0.234136642607183,213.0,0.6363636363636364,0.011857707509881422,0.003073585126505738,"[""REGISTRATION_OK"", ""ROBUST_DIFF_SIG""]",[],"[""MESSIER_061_jw02107-o031_t013_nircam_clear-f200w_jw02107-o044_t020_nircam_clear-f200w_fade_0117""]","[""MESSIER 061::jw02107-o031_t013_nircam_clear-f200w::jw02107-o044_t020_nircam_clear-f200w""]"
MESSIER_101_branch_0080,MESSIER 101,210.7737467539678,54.34253876987155,1,0,1,1,1,1,702.7494574189768,30.001760708167822,19.289881138002812,19.289881138002812,0.44745635295155317,0.44745635295155317,0.44745635295155317,0.0,1.0,30.259817192990155,20.629025532559464,0.9716956544619347,3.0,6.0,0.15034797355713295,227.0,0.6733333333333333,0.0033333333333333335,0.0,"[""REGISTRATION_OK"", ""ROBUST_DIFF_SIG""]","[""BLEND_RISK"", ""EDGE_NEAR_MASK""]","[""MESSIER_101_jw01995-o001_t001_nircam_clear-f115w_jw05398-c1144_t000_nircam_clear-f115w_fade_0003""]","[""MESSIER 101::jw01995-o001_t001_nircam_clear-f115w::jw05398-c1144_t000_nircam_clear-f115w""]"
MESSIER_101_branch_0081,MESSIER 101,210.75619780395797,54.33250767841117,1,0,1,1,1,1,851.3008862037022,24.618787726677716,19.050350489607965,19.050350489607965,0.2719497920838201,0.2719497920838201,0.2719497920838201,0.0,1.0,6.987588453582982,2.123521183865151,0.0,0.0,44.28317965096906,0.10520263294672516,278.0,0.91,0.0,0.0,"[""REGISTRATION_OK"", ""ROBUST_DIFF_SIG""]",[],"[""MESSIER_101_jw02452-o002_t002_nircam_clear-f200w_jw05398-c1144_t000_nircam_clear-f200w_fade_0104""]","[""MESSIER 101::jw02452-o002_t002_nircam_clear-f200w::jw05398-c1144_t000_nircam_clear-f200w""]"
MESSIER_066_branch_0088,MESSIER 066,170.060426754912,12.996033113802278,1,0,1,1,1,1,708.0771597106504,21.161772192766573,18.951560212468227,18.951560212468227,-0.16210584793968574,-0.16210584793968574,-0.16210584793968574,1.0,0.0,6.670955679594676,1.3564500774951747,0.0,0.0,272.9578722074159,0.12267200350079889,206.0,0.9163763066202091,0.003484320557491289,0.003073585126505738,"[""POST_LT_5PCT"", ""REGISTRATION_OK"", ""ROBUST_DIFF_SIG""]",[],"[""MESSIER_066_jw02107-o029_t011_nircam_clear-f335m_jw04793-o011_t011_nircam_clear-f335m_fade_0046""]","[""MESSIER 066::jw02107-o029_t011_nircam_clear-f335m::jw04793-o011_t011_nircam_clear-f335m""]"
MESSIER_061_branch_0202,MESSIER 061,185.47550446056968,4.475251391568453,1,0,1,1,1,1,370.96410550925793,18.857541968137493,18.857541968137493,18.857541968137493,-1.4583709287788955,-1.4583709287788955,-1.4583709287788955,1.0,0.0,1.9944788735371344,3.724480266463221,0.0,0.0,32.0,0.234136642607183,213.0,0.6363636363636364,0.011857707509881422,0.0,"[""POST_LT_5PCT"", ""REGISTRATION_OK"", ""ROBUST_DIFF_SIG""]",[],"[""MESSIER_061_jw02107-o031_t013_nircam_clear-f200w_jw02107-o044_t020_nircam_clear-f200w_fade_0208""]","[""MESSIER 061::jw02107-o031_t013_nircam_clear-f200w::jw02107-o044_t020_nircam_clear-f200w""]"
MESSIER_066_branch_0089,MESSIER 066,170.05140100143694,13.003804059774582,1,0,1,1,1,1,708.0771597106504,31.558964879744494,18.74162449887053,18.74162449887053,-0.15327578451414972,-0.15327578451414972,-0.15327578451414972,1.0,0.0,5.641284428300447,0.9224878910308686,0.0,0.0,292.85662020859286,0.12267200350079889,206.0,0.9163763066202091,0.003484320557491289,0.0,"[""POST_LT_5PCT"", ""REGISTRATION_OK"", ""ROBUST_DIFF_SIG""]",[],"[""MESSIER_066_jw02107-o029_t011_nircam_clear-f335m_jw04793-o011_t011_nircam_clear-f335m_fade_0030""]","[""MESSIER 066::jw02107-o029_t011_nircam_clear-f335m::jw04793-o011_t011_nircam_clear-f335m""]"
